komentar,komentar_bersih,label_final,alasan_label
Kpan diyoutub apa,kpan diyoutub,netral,Pertanyaan tidak jelas terkait YouTube.
Ke aff,aff,netral,Pernyataan sangat singkat tanpa emosi jelas.
Berharap Alex pastor jadi head coah,harap alex pastor head coah,positif,Harapan agar Alex Pastor menjadi head coach.
Thanks capt jay,thanks capt jay,positif,Ucapan terima kasih/apresiasi kepada Jay.
Sty pakai rafael struick,sty pakai rafael struick,netral,Pernyataan singkat/faktual tentang pemain yang dipakai STY.
"​ @Heru-ld8bz wajar bang kapten dalam sepak bola kayak gitu, Jay gak marah marah, dia cuma ngasih arahan, dan cuman berdebat sama wasit",ld bz wajar bang kapten sepak bola gitu jay marah marah ngasih arah cuman debat wasit,positif,Membela Jay sebagai kapten yang memberi arahan.
"Kalah atau menang, kalian tetap pahlawan bangsa..semangat terus..💪❤️🇲🇨",kalah menang pahlawan bangsasemangat,positif,Tetap mendukung pemain sebagai pahlawan bangsa.
Ga dua duanya sty baru 2 bulan aja dipecat lagi kwkwkwwk,dua sty pecat kwkwkwwk,negatif,Menyindir STY dengan konteks pemecatan.
"Kuasai dulu asia, minimal setara jepang sama korea. Baru ngomongin piala dunia.",kuasa asia minimal tara jepang korea ngomongin piala dunia,netral,Saran realistis menguasai Asia dulu.
Mklum negara kaya ya buang2 anggaran 😂😂,mklum negara kaya ya buang anggar,negatif,Mengkritik pemborosan anggaran.
Pecat pelatih.,pecat pelatih,negatif,Meminta pelatih dipecat.
"Tetap semangat timnas, kalah menang kita tetap dukung. Masih ada kesempatan",semangat timnas kalah menang dukung sempat,positif,Dukungan kepada Timnas meskipun kalah.
melek woi. kalo gk ada ET mah udah kandas di round 2-3. lawan filipin aja seri di round 2 dengan naturalisasi yg masih seadanya/ wave 1,melek woi kalo et mah udah kandas round lawan filipin seri round naturalisasi ada wave,positif,Pembelaan terhadap peran ET dalam membantu Timnas/naturalisasi.
top markotop,top markotop,positif,Pujian singkat.
"Kalah hal wajar.. Tidak perlu menyalahkan. Dunia sudah melihat permainan Indonesia yg hebat. Semangat Pelatih, semangat TIMNAS.",kalah wajar salah dunia main indonesia hebat semangat pelatih semangat timnas,positif,Menerima kekalahan dan memuji permainan Indonesia.
​ @fely7488 emang cuma ET yg bisa ngurus bola??,emang et ngurus bola,negatif,Nada mempertanyakan Erick Thohir sebagai satu-satunya yang bisa mengurus bola.
Setuju.,tuju,netral,Komentar singkat setuju tanpa konteks sentimen yang jelas.
"Satu kata kita kalah terhormat,,,sepakbola dinodai oleh kekuasaan dan ambisi kotor yg menghilangkan fairplay,,,,Ami tetap bangga dgn perjuangan kalian ,,,ingat wasit dungu akan kena azab sesuai dgn dosa yg dia perbuat buat bangsa ini",kalah terhormatsepakbola noda kuasa ambisi kotor hilang fairplayami bangga juang wasit dungu kena azab sesuai dosa buat bangsa,positif,Tetap bangga pada perjuangan Timnas meski marah kepada wasit.
"Terima kasih timnas Indonesia telah mengantarkan sampai babak keempat 2026, usaha PSSI yang luar biasa, bravo PSSI dan Timnas, tetap jaya dan cinta Indonesia. Love you full",terima kasih timnas indonesia antar babak empat usaha pssi bravo pssi timnas jaya cinta indonesia love you full,positif,Ucapan terima kasih dan dukungan kepada Timnas/PSSI.
"Tenang bang kami uda biasa kalo kalah,ini karena belum rezeki 😭😭😭kami akan selalu dukung,doanya yg Bae""",tenang bang uda kalo kalahini rezeki dukungdoanya bae,positif,Tetap mendukung dan mendoakan meski kalah.
"Mau pelatihnya siapapun kalau pengurusnya nga ngerti sama aj,cuma kepentingan politik.",latih urus nga ngerti ajcuma penting politik,negatif,Kritik pengurus dan kepentingan politik.
🎶Don't cry for me Argentina...🎶,dont cry for me argentina,netral,Kutipan lagu tanpa opini jelas terhadap Timnas.
"Bahkan dgn gaya bertahan kepelatihan real madrid yaitu ancelotti (pelatih asal italy) mampu juara UCL berkali kali dalam 1 dekade terakhir (2014,2022,2024)",gaya tahan latih real madrid ancelotti pelatih italy juara ucl kali kali dekade,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Terima wasit gak lihat bar,terima wasit lihat bar,negatif,Kritik terhadap wasit/VAR.
Tetap semangat timnasku...,semangat timnasku,positif,Dukungan kepada Timnas.
"Indonesia memang lebih coco main pragmatis, sedikit peluang tapi pertahanan kokoh dari pada main menyerang tapi kebobolan",indonesia coco main pragmatis peluang tahan kokoh main serang bobol,netral,Analisis gaya bermain pragmatis tanpa emosi jelas.
"​ @h1bur4n ini bukan tentang pelatih dr itali atau bkn bang, tp tentang kecermatan Federasi & pelatih nerapin filosofi yg dipake, berdasarkan kompisisi kekuatan pemain kita.",pelatih itali bkn bang cermat federasi pelatih nerapin filosofi dipake dasar kompisisi kuat pemain,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
"akibat kepelatihan petrick jadi gatot ke pildun 2026,coba sty ga digantikan sama insyaallah bisa lolos ke pildun 2026",akibat latih petrick gatot pildun coba sty ganti insyaallah lolos pildun,negatif,Kritik terhadap kepelatihan Patrick dan pergantian STY.
Hengkang? Kan ini timnas bukan klub bang,hengkang timnas klub bang,netral,Hanya memberi koreksi bahwa Timnas bukan klub.
​ @lekdidikvlog itu kn disebut justinn😂😂 baca yg bnr,kn justinn baca bnr,netral,"Koreksi percakapan, tidak menunjukkan opini terhadap Timnas."
"Selesai sdh, Bravo timnas",selesai sdh bravo timnas,positif,Apresiasi kepada Timnas.
Nomer 5 ampas,nomer ampas,negatif,Menyebut pihak terkait ampas.
​ @chandy_1776 goal open play semua dari ole😂..,goal open play ole,netral,"Komentar singkat soal gol open play dari Ole, lebih bersifat informasi/candaan."
Udalah jg dibahas lagi kita semua tau pemain Uda berjuang semaksimal mungkin jg saling menyalahkan Krn Allah blm mengijinkan kita ke pildun,uda jg bahas pemain uda juang maksimal jg salah allah blm mengijinkan pildun,positif,Mengapresiasi perjuangan pemain dan tidak ingin saling menyalahkan.
"Punya bukti bangg ,",bukti bangg,netral,Pertanyaan/permintaan bukti tanpa sentimen jelas.
Wassalam Pildun 2026!!! 😂😂😂😂😂😂😂,wassalam pildun,negatif,Sindiran bahwa Pildun 2026 sudah selesai.
"Kbnykn yg komen ,cuma lihat judul judul yg ngk paham proses SPK bola indonesia",kbnykn komen lihat judul judul ngk paham proses spk bola indonesia,netral,"Lebih berupa komentar terhadap netizen/proses sepak bola, tidak menunjukkan sentimen jelas pada Timnas."
kesel banget tuh gw denger denger wkwk,kesel tuh denger denger,negatif,Mengungkapkan kekesalan.
"Ya pada kesimpulan nya mnurut saya pelatih eropa mau sekaliber pep guardiola jadi pelatih timnas indonesia pun klau tidak faham sepak cultur sepak bola asia bakalan kesulitan klau shin tae yong kan sudah tau cultur nya sepak bola asia yg paling utama cultur srpak bola timur tengah negara"" arab itu shin tae yong tau jadi jikalau kluivert di ganti oun mending pengganti nya pelatih dari asia yg sudah faham betul cultur sepak bola asia",ya simpul mnurut pelatih eropa kaliber pep guardiola pelatih timnas indonesia klau faham sepak cultur sepak bola asia sulit klau shin tae yong cultur sepak bola asia utama cultur srpak bola timur negara arab shin tae yong kluivert ganti oun mending ganti pelatih asia faham cultur sepak bola asia,negatif,Mengkritik pilihan pelatih Eropa dan membandingkan dengan STY.
"""Yang insyaallah akan menjadi bahan bakar neraka"". 😅😂🤣",insyaallah bahan bakar neraka,netral,Hanya kutipan/bercandaan tanpa opini jelas terhadap Timnas.
​@septiansyahwibowomana linknya ET bilang gitu,linknya et bilang gitu,netral,"Pertanyaan meminta bukti/link, netral."
ET out kembali ke setelan pbrik,et out setel pbrik,negatif,Kritik bahwa jika ET keluar kondisi kembali buruk.
Mmaen udah bagus ..,mmaen udah bagus,positif,Menilai permainan sudah bagus.
Aku jelma'an ikut piala dunia Fifa World Cup TAHUN DEPAN INSYA ALLAH,jelma piala dunia fifa world cup insya allah,positif,Harapan optimis terkait Piala Dunia.
"Sebutkan pengurus yg bnar siapa, sudah menghasilkan apa untuk timnas?",sebut urus bnar hasil timnas,netral,Pertanyaan tentang pengurus dan hasil untuk Timnas tanpa sentimen eksplisit.
​@septiansyahwibowoanda salah sty lah yg udah bangun podasi dari nol Mlah di rusak sama Patrik temen nya sponbop itu,salah sty udah bangun podasi nol mlah rusak patrik temen sponbop,negatif,Kritik bahwa pondasi STY dirusak Patrick.
Petrul petruk,petrul truk,netral,Komentar tidak bermakna jelas.
Sama kayak Arsenal nomor 2 terus hampir dekati juara,arsenal nomor dekat juara,netral,"Analogi Arsenal, tidak menyatakan sentimen jelas terhadap Timnas."
"Indonesian sudah membuktikannya, juara liga Dangdut dilatih oleh orang lokal...",indonesian bukti juara liga dangdut latih orang lokal,netral,Komentar bercanda/ambigu tentang liga dangdut dan pelatih lokal.
​ @AndiIrmanNur-w5i Ya minimal arya mundurlah.. kalau et gamau,ya minimal arya mundur et gamau,negatif,Meminta Arya mundur.
Keattt PATRICK...,keattt patrick,netral,Komentar terlalu singkat dan tidak jelas konteks sentimennya.
Pelatih selanjutnya coach justin,pelatih coach justin,netral,Usulan pelatih selanjutnya tanpa emosi jelas.
Konten kreatornya adalah Neal Peterson. Kontennya Thom Haye. THE HAYE WAY,konten kreator neal peterson konten thom haye the haye way,netral,"Informasi tentang kreator/konten, tanpa sentimen terhadap Timnas."
Coba ja klo sistem home away,coba ja sistem home away,netral,Komentar tentang sistem home-away tanpa sentimen kuat.
Sama bang,bang,netral,Persetujuan singkat tanpa sentimen jelas.
Jelas2 kalah kualitas & kreativitas,kalah kualitas kreativitas,negatif,Menilai Timnas kalah kualitas dan kreativitas.
Artinya kita lebih baik dari iraq ..tinggal faktor keberuntungan saja berpihak ke iraq ..lihat sj permainannya sangat baik..permainan RANGKING jg kita dilevel internasional kalah jauh oleh iraq ok...kita jgn berkecil hati tidak lolos pildun 2026 .insha Allah 4 tahun lagi bisa go piala dunia .,iraq tinggal faktor untung pihak iraq lihat sj main baikpermainan rangking jg level internasional kalah iraq okkita jgn kecil hati lolos pildun insha allah go piala dunia,positif,Menilai permainan baik dan berharap 4 tahun lagi lolos.
"Tambah sakit ,team pelatih bungkam,pssi masih bungkam,hanya pak sumarji yang buka suara,lebih sakit lagi team pelatih langsung kebelanda ,seakan tidak ada apa2",sakit team pelatih bungkampssi bungkamhanya sumarji buka suaralebih sakit team pelatih langsung belanda akan,negatif,Kekecewaan karena PSSI/pelatih bungkam.
"gua bukan fans erick thorir, tapi siapa menurut lu yng bisa jadi pengganti dia? 😂 mau nunjuk anggota TNI lgi? 😂 udah untung kita punya dia dengan relasinya yang kuat dan pengalamannya megang klub luar. jujur2an aja kalau bukan Erick Thohir mana ada mimpi masuk pildun 2026. lagian juga target sebenarnya bukan 2026. Sabar aja, yng penting kita gabakal kekejar masuk pildun sama Malaysia 😂",fans erick thorir yng ganti nunjuk anggota tni lgi udah untung relasi kuat alam megang klub jujur an erick thohir mimpi masuk pildun target sabar yng gabakal kejar masuk pildun malaysia,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
Ga akan. Selama komplotan itu masih di pssi,komplot pssi,negatif,Kritik terhadap komplotan di PSSI.
Sangat sangat setuju,tuju,netral,Persetujuan singkat tanpa konteks sentimen jelas.
Menit 1:18 pak Sumarji Ter nyata hajar wasit .. bravo pak Sumarji sudah mewakili kami NKRI .,menit sumarji ter nyata hajar wasit bravo sumarji wakil nkri,positif,Mendukung tindakan Sumarji sebagai perwakilan emosi publik.
100% betul-betul apa yang di katakan ABANG BINDER 👌👍👍,betulbetul abang binder,positif,Menyetujui pendapat Bung Binder secara positif.
Ngeri Lo min ..gua pecah ketawa saat Lo bilang insyaallah wasitnya jdi bahan neraka 😂😂😂,ngeri pecah ketawa bilang insyaallah wasit bahan neraka,netral,"Komentar bercanda terhadap ucapan admin, tidak menilai Timnas secara langsung."
"Percaya sama gw , elo akan tetap komentar hal yg mirip jika STY gagal. Karena ini hanya kekecewaan dalam atas harapan yg bertolak belakang dg kenyataan.",percaya elo komentar sty gagal kecewa harap tolak dg nyata,netral,Komentar analitis tentang kekecewaan suporter tanpa sentimen jelas.
Setelah pemain Irak no 7 masuk pertahanan indonesia kocar kacir. Tetep semangat garuda,pemain irak no masuk tahan indonesia kocar kacir tetep semangat garuda,positif,Tetap memberi semangat kepada Garuda meski ada kekurangan.
"Jadi Teringat omongan Alm Gus Dur,Tim Nas akan ke Piala Dunia kalo Pelatihnya bermata Sipit,Ternyata kenyataannye terjadi.....",omong alm gus durtim nas piala dunia kalo latih mata sipitternyata kenyataannye,netral,Menyebut prediksi Gus Dur tanpa opini kuat.
Sebenarnya ada apa ya di dunia sepak bola Indonesia,ya dunia sepak bola indonesia,netral,Pertanyaan umum tentang kondisi sepak bola Indonesia.
kecewa iya tidak lolos tapi trimaksh buat pemain dan seluruh jajaran nya kalw aku mah fositif aja toh bola itu bulat jangankan indonesia negara besar jga pernah mengalami seperti indonesia tidak lolos jadi jadi fosotif aja lah aku mah,kecewa iya lolos trimaksh pemain jajar kalw mah fositif bola bulat indonesia negara jga alami indonesia lolos fosotif mah,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
Saya ttap dukung pemain dn terimakasih sudah kerja keras untuk bangsa kita. PK out Et mundur dari PSSI,ttap dukung pemain dn terimakasih kerja keras bangsa pk out et mundur pssi,negatif,Campuran dukungan pemain dan kritik keras PK/ET; dominan kritik.
Gagal di round 3,gagal round,netral,Pernyataan fakta singkat tentang gagal di round 3.
12 besar Asia,asia,netral,Informasi singkat tentang capaian 12 besar Asia.
Sebnernya sudah tau kekuatan Indonesia sty aku cinta padamu,sebnernya kuat indonesia sty cinta pada,positif,Menyatakan cinta/dukungan kepada STY.
IYAA LAGIII,iyaa lagiii,netral,Persetujuan singkat tanpa konteks sentimen jelas.
"Di lebih lebihkan, padahal dari segi permainan indonesia emang gak pantes lolos piala dunia😂",lebih segi main indonesia emang pantes lolos piala dunia,negatif,Menyatakan Indonesia tidak pantas lolos Piala Dunia.
​ @Davin9898 ga nyambung euy,nyambung euy,netral,Komentar singkat bahwa argumen tidak nyambung.
gini mulu dr jaman 90an gak bosen apa,gin mulu jaman an bosen,negatif,Mengungkap kebosanan terhadap kegagalan yang berulang.
"Tak mengapa garudaku,,kalian sdh melakukan yg terbaik utk bangsa Indonesia,,lagi lagi kita kalah oleh kinerja wasit...",garudakukalian sdh baik bangsa indonesialagi kalah kerja wasit,positif,Apresiasi kepada Garuda meski kecewa terhadap wasit.
Real,real,netral,Persetujuan singkat tanpa emosi kuat.
"Sty aut timnas ancur d rond 4 smua tertunduk haru dngn ke gagal ini, sampai neteskan air mata, tpi di blik kesedihan ini, ada yang hatinya senang & ketawa itu siapa hanya tiwel yg bisa tersenyum lihat timbas hancur d rond 4 ini,",sty aut timnas ancur rond smua tunduk haru dngn gagal neteskan air mata blik sedih hati senang ketawa tiwel senyum lihat timbas hancur rond,negatif,Menggambarkan kegagalan dan kehancuran Timnas dengan nada kecewa.
Kasar banget bro bahasa y...kita EMG kecewa kritik boleh tp pakai lah bahasa sesuai adab bangsa Indonesia,kasar bahasa ykita emg kecewa kritik pakai bahasa sesuai adab bangsa indonesia,netral,Lebih berupa teguran agar kritik menggunakan bahasa yang baik.
Pak Eric gak pernah memaksa supporter utk bermimpi ke PILDUN.,eric paksa supporter mimpi pildun,netral,"Pernyataan pembelaan/penjelasan bahwa Erick tidak memaksa publik bermimpi ke Pildun, tanpa emosi jelas."
"Alhamdulillah, kita jadi tau. 😊",alhamdulillah,netral,"Komentar singkat berupa respons informasi/pengetahuan, tidak jelas emosinya."
konoha ajj.. ahhh lama2 jantungan gua ajig liat berita2 d konoha,konoha ajj ahhh jantung ajig liat berita konoha,negatif,Ungkapan pusing dan jantungan karena berita.
Pak Erik pak Erik,erik erik,netral,Hanya menyebut nama Erick tanpa opini yang jelas.
jiwa ksatria dan korsa,jiwa ksatria korsa,netral,Pernyataan singkat tanpa konteks sentimen yang jelas.
Cukup nyimak saja selebihnya berikan aturan kepada mereka yg berkuasa.,nyimak lebih atur kuasa,netral,Komentar umum untuk menyimak dan menyerahkan kepada pihak berkuasa.
"​​ @KikiPutra-r8x seperti leg pertama lawan China, itu pertandingan penting malah line up kacau,terulang lagi saat lawan arab kemarin ,kedua kekalahan yg emang seperti si seting",leg lawan china tanding line up kacauterulang lawan arab kemarin kalah emang si ting,negatif,Mengkritik line up kacau dan dugaan setting.
​ @reggyramadhon9499 RATU TISHA.,ratu tisha,netral,Menyebut nama calon/pihak tanpa opini jelas.
"Empat tahun yang akan datang semua sepak bola asia sudah naturalisasi, lebih berat persaingannya daripada saat ini.",sepak bola asia naturalisasi berat saing,netral,Analisis persaingan masa depan Piala Dunia.
"Dari awal round 4 timnas Indonesia sudah d kerjain... tempat pertandingan yg tidak netral,pilihan wasit yg tidak netral,rekoferi yg mini cuma 1 hari sedangkan Iran n arab Saudi 3 hari .....jelas AFC mafia",round timnas indonesia kerjain tanding netralpilihan wasit netralrekoferi mini iran arab saudi afc mafia,negatif,Kritik terhadap AFC/wasit yang dianggap mafia.
KINGG RIDHO NIH BOZZ SENGKOELL DONG BOZZZZZ🧡🧡🧡🧡🧡🧡🧡🧡🔥🔥,kingg ridho bozz sengkoell bozzzzz,positif,Pujian/dukungan kepada Ridho.
Efek marselino tdk main,efek marselino main,netral,Menyebut efek Marselino tidak bermain tanpa emosi jelas.
Lo yg g tau malu. G ada yg sempurna d dunia ini !!! Masalahnya g ada yg lebih bagus buat gantiin ET di posisi ketum pssi,malu sempurna dunia bagus gantiin et posisi tum pssi,positif,Membela ET karena dianggap tidak ada pengganti lebih baik.
Kasih julukan dong min buat peristiwa ini yaitu The agony of jeddah,kasih juluk peristiwa the agony of jeddah,netral,Usulan julukan peristiwa tanpa opini yang jelas.
akhirnya di tungu2 salam om dari makassar,tungu salam om makassar,netral,Sapaan/komentar ke konten tanpa opini Timnas.
"​ @ApriYadi-zd2sv masalah di obok obok dan di bantai timnas tim besar di fase grup itu sdah pasti ,cman ya akn jdi sejarah dan kbngga,an buat masyarakat Indonesia KLO sampe bisa lolos ke piala dunia walpun cuman jdi tim pelngkap tpun tim hore",zd sv obok obok bantai timnas tim fase grup sdah cman ya akn sejarah kbnggaan masyarakat indonesia sampe lolos piala dunia walpun cuman tim pelngkap tpun tim hore,positif,Menunjukkan kebanggaan jika Indonesia lolos Piala Dunia.
Ini baru bener..bukan fans fomo..ngawur..ET out lah STY came back lah..hadehhh..mentok disitu doang dunianya.. Bravo timnas ❤❤❤,benerbukan fans fomongawuret out sty came back lahhadehhhmentok situ doang dunia bravo timnas,positif,Dukungan kepada Timnas disertai apresiasi.
Tul,tul,netral,Persetujuan singkat tanpa konteks sentimen jelas.
"Undang jeje untuk podcas bung,untuk mengulas timnas",undang jeje podcas bunguntuk ulas timnas,netral,Permintaan mengundang narasumber untuk mengulas Timnas.
Tp tenang KLO pmain dari tim Ono meskipun blunder g skn d hujat😅,tenang pmain tim ono blunder skn hujat,negatif,Sindiran terhadap pembelaan pemain tertentu.
DEWASA..mantap kang,dewasamantap kang,positif,Pujian dengan kata mantap/dewasa.
saya lebih memilih yg 100% darah indonesia pemain maupun pelatihnya,pilih darah indonesia pemain latih,netral,Menyatakan preferensi pemain/pelatih lokal tanpa emosi kuat.
"Next kalo fmd pk d pecat jangan buru2 cari pelatih dlu. Cuba naikan alex pastur. Kalo emng pk bersitegang dengan alex pastur brarty ada perselisihan yg terjadi, alex mungkin nyarankan formasi bertahan kya dlu dan pemain2 ini itu. Tapi pk gk pengen dn tetap dengan skema menyerang dn keputusan memilih pemain ada d tangan pk, jdi alex gk bisa ngapai2n",next kalo fmd pk pecat buru cari pelatih dlu cuba naik alex pastur kalo emng pk bersitegang alex pastur brarty selisih alex nyarankan formasi tahan kya dlu pemain pk ken dn skema serang dn putus pilih pemain tangan pk alex ngapai,netral,"Saran taktis jika PK dipecat, tanpa emosi kuat."
Saya berharap 2030 nanti indonesia masuk ke piala dunia dengan keadaan Kevin diks verdonk atau yg lainnya sudah ada pemain timnas yg sudah masuk club club besar papan atas,harap indonesia masuk piala dunia kevin diks verdonk pemain timnas masuk club club papan,positif,Berisi harapan Indonesia masuk Piala Dunia 2030.
Ku tetap mendukungmu Team Nas Garudaku❤,ku dukung team nas garuda,positif,Dukungan langsung kepada Timnas/Garuda.
Shin tae yong❤❤❤,shin tae yong,positif,Dukungan kepada Shin Tae-yong.
"Kami merasa kasihan PD pemain ketika gagal ke pildun, kami terharu tetap semangat kita tertunda",kasihan pemain gagal pildun haru semangat tunda,positif,Sedih tetapi tetap menyemangati pemain.
Suda bagus mainya cuman memang belum rezkinya..indonesia tetap d hati,suda bagus mai cuman rezkinyaindonesia hati,positif,Dukungan/apresiasi bahwa permainan sudah bagus dan Indonesia tetap di hati.
🤣🤣🤣 sy setuju bgt sm ente bang @beritasepakbilaDS,sy tuju ente bang,positif,Menunjukkan persetujuan positif.
Erik tohir biang kegagalan timnas indonesia,erik tohir biang gagal timnas indonesia,negatif,Menyalahkan Erick Thohir atas kegagalan.
Kalau korupsi nomor satu Indonesia tetapi kalau main bola tahu sendiri kan,korupsi nomor indonesia main bola,negatif,Bernada kritik terhadap kondisi Indonesia dan sepak bola.
Ada yang kaya raya dibalik kekecewaan kita😢,kaya raya balik kecewa,negatif,"Menyebut ada pihak kaya di balik kekecewaan, bernada kritik."
"Mantap sih pelatih irak, pandai membaca situasi pemain indonesia,, mantap mantap",mantap pelatih irak pandai baca situasi pemain indonesia mantap mantap,netral,"Memuji pelatih Irak, bukan komentar emosional terhadap Timnas Indonesia."
​ @pokpek18 yabg jemput fans Belanda dan Barca wkwkk,yabg jemput fans belanda barca wkwkk,netral,Komentar bercanda/menyebut fans Belanda dan Barca tanpa sentimen jelas.
"terima kasih para pemain mulai dari round 1 sampai round 4,,,dari pemain lokal sampai pemain diaspora yg sdh berjuang habis2an membawa Indonesia sejauh ini,,,,terima kasih juga buat coach STY yg sdh membangun pondasi dengan pemain2 muda masa depan thanks coach STY. skrng kita focus ke piala asia,,,dengan syarat ""Patrik Out""",terima kasih pemain round round pemain lokal pemain diaspora sdh juang habis an bawa indonesia initerima kasih coach sty sdh bangun pondasi pemain muda thanks coach sty skrng focus piala asiadengan syarat patrik out,positif,Berisi apresiasi kepada pemain dan STY meskipun ada catatan Patrick out.
"jadi harus nyari pelatih italia gitu? emang mereka mau dan bisa adaptasi ama sepak bola indo,,, sekelas mancini aja didepak timnas arab saudi... 🤣",nyari pelatih italia gitu emang adaptasi ama sepak bola indo kelas mancini depak timnas arab saudi,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Ia lawan Brunei Darussalam 😂😂,lawan brunei darussalam,netral,Hanya menyebut lawan Brunei dengan candaan tanpa opini jelas.
Benerrrr,benerrrr,positif,Persetujuan singkat bernada positif.
"kesannya gimana?, emg dari dulu pernah se deket itu sama pildun?, dari dulu cuma bisa lolos ke round 2 doang",kesan gimana emg deket pildun lolos round doang,netral,Komentar realistis tentang capaian Indonesia yang baru dekat ke Pildun.
Lu kira bensin😂 liat STY sekarang di pecat klub jepang Ulsan hyundai karena apa? Karena jelek,bensin liat sty pecat klub jepang ulsan hyundai jelek,negatif,Mengkritik STY sebagai pelatih jelek.
"Sebutkan Min, Bahwa Blunder Rizky Ridho Berbuah Gol Buat Irak",sebut blunder rizky ridho buah gol irak,negatif,Menyoroti blunder pemain yang berbuah gol lawan.
1 menit pertama kayak asmr ya bang fer,menit asmr ya bang fer,netral,"Komentar tentang audio/video, bukan sentimen Timnas."
Selama mafia bola dan koruptor makmur bebas hidup di negeri ini jangan harap lndonesia masuk pildun. Piala AFF yg bukan agenda FIFA saja kita terpuruk.,mafia bola koruptor makmur bebas hidup negeri harap lndonesia masuk pildun piala aff agenda fifa puruk,negatif,Mengkritik mafia bola/koruptor dan pesimis terhadap peluang Indonesia.
Ingat coach STY lah yang membangun pondasi dasar timnas bukan si kluivert yang bodoh itu..Sekarang wajib buat seluruh pengurus PSSI ALL OUT semua..Buat erick tohir kalau cari pengganti STY itu harus lebih bagus bukan cari pelatih yang kualitasnya lebih rendah dari STY Inilah KARMA yang wajib diterima akibat memecat STY secara sepihak..,coach sty bangun pondasi dasar timnas si kluivert bodoh itusekarang wajib urus pssi all out semuabuat erick tohir cari ganti sty bagus cari pelatih kualitas rendah sty karma wajib terima akibat pecat sty,negatif,"Kritik keras terhadap Kluivert, PSSI, dan pemecatan STY."
"​ @AbdulRosid-zo9vi Timnas kt blm jadi bos..' msh blm punya komposisi ideal..""",zo vi timnas kt blm bos msh blm komposisi ideal,netral,"Pernyataan kondisi Timnas belum ideal, cenderung informatif."
nnti malah dihina sama towel cs 7 hari 7 malam,nnti hina towel cs malam,negatif,Mengandung sindiran/kemungkinan penghinaan dari pihak tertentu.
mantan pelatih usbek harus di panggil buat pelatih timnas Indonesia,mantan pelatih usbek panggil pelatih timnas indonesia,netral,Usulan pelatih Timnas tanpa sentimen jelas.
"Konten the haye way, kah?",konten the haye way kah,netral,Pertanyaan tentang konten The Haye Way tanpa sentimen jelas.
"Timnas kedepannya harus benar 2 jago kaya jepang, soalnya mafia sepakbola Asia susah dikalahkan. Dan pelatih nya kalau ada asli putra Indonesia.",timnas depan jago kaya jepang mafia sepakbola asia susah kalah pelatih asli putra indonesia,positif,Berisi harapan agar Timnas makin kuat.
"Sama, saya juga berpendapat demikian.",dapat,netral,Persetujuan singkat tanpa konteks sentimen jelas.
​ @DanyUhuy-t5g iya sob mereka lupa klo sepak bola indo masih setingkat apa' mereka merasa tim ini sudah sekelas German saja😂😂😂,iya sob lupa sepak bola indo tingkat tim kelas german,positif,Membela kondisi sepak bola Indonesia yang belum sekelas negara besar.
yg harus di salahkan jelas PSSI,salah pssi,negatif,Menyalahkan PSSI secara langsung.
Ego Erick yang tinggi😢,ego erick,negatif,Mengkritik ego Erick.
Sepertinya Indonesia masih belum layak masuk pildun tipis tipis setidaknya naik kelas gpp,indonesia layak masuk pildun tipis tipis kelas gpp,netral,"Analisis bahwa Indonesia belum layak, tanpa emosi kuat."
"Bruh, mohon diingat opsi pemain sty tdk sebanyak opsi petrik yg skrg",bruh mohon opsi pemain sty opsi trik skrg,positif,Membela STY dengan menyebut opsi pemainnya lebih terbatas.
Sty itu berjuang dari awal tapi di rusak di akhir oleh org lain,sty juang rusak orang,negatif,Kritik bahwa perjuangan STY dirusak pihak lain.
Kita bangun sepakbola sepuluh tahun capek nunggu uang dihamburkan beli pemain dan pelatih tidak jelas arah nya.,bangun sepakbola puluh capek nunggu uang hambur beli pemain pelatih arah,negatif,Mengkritik pemborosan uang untuk pemain dan pelatih.
Sty ttp yg terbaik,sty ttp baik,positif,Memuji STY sebagai yang terbaik.
"Sebenarnya yang salah itu bukan Kluivert, tapi erick thohir dia juga yang mecat shin tae yong. Andai erick thohir mau sabar dulu dan gak buru² pecat shin tae yong kalo gak lolos pildun, pasti hasilnya juga gak kaya gini",salah kluivert erick thohir mecat shin tae yong andai erick thohir sabar buru pecat shin tae yong kalo lolos pildun hasil kaya gin,negatif,Menyalahkan Erick atas pemecatan STY yang terburu-buru.
"Ga lah, lah itu si towel sama Bahtiar Yusuf dukung PK mati2an, klo ga percaya, liat di tuh di tv one",si towel bahtiar yusuf dukung pk mati an percaya liat tuh tv one,netral,"Informasi/rebutan soal pihak yang mendukung PK, sentimen kurang jelas."
